Sensor ID,Asset ID (FK),Sensor Type,Reading Value,Timestamp,Baseline Value
SNS-1001-T,AST-1001,Temperature,7.2,2024-07-25 13:09,7.0
SNS-1001-T,AST-1001,Temperature,6.95,2024-07-26 01:51,7.0
SNS-1001-T,AST-1001,Temperature,7.64,2024-07-27 22:49,7.0
SNS-1001-T,AST-1001,Temperature,7.31,2024-07-28 04:10,7.0
SNS-1001-T,AST-1001,Temperature,7.11,2024-07-29 06:36,7.0
SNS-1001-T,AST-1001,Temperature,6.25,2024-07-30 06:21,7.0
SNS-1001-T,AST-1001,Temperature,7.6,2024-07-31 11:34,7.0
SNS-1001-T,AST-1001,Temperature,6.93,2024-08-01 13:10,7.0
SNS-1001-T,AST-1001,Temperature,6.78,2024-08-02 10:07,7.0
SNS-1001-T,AST-1001,Temperature,6.91,2024-08-03 00:53,7.0
SNS-1001-T,AST-1001,Temperature,7.35,2024-08-04 11:32,7.0
SNS-1001-T,AST-1001,Temperature,6.54,2024-08-05 22:45,7.0
SNS-1001-T,AST-1001,Temperature,7.33,2024-08-06 04:02,7.0
SNS-1001-T,AST-1001,Temperature,7.1,2024-08-07 08:16,7.0
SNS-1001-T,AST-1001,Temperature,6.85,2024-08-08 12:08,7.0
SNS-1001-T,AST-1001,Temperature,7.46,2024-08-09 01:58,7.0
SNS-1001-T,AST-1001,Temperature,6.77,2024-08-10 18:41,7.0
SNS-1001-T,AST-1001,Temperature,7.29,2024-08-11 17:04,7.0
SNS-1001-T,AST-1001,Temperature,6.71,2024-08-12 14:19,7.0
SNS-1001-T,AST-1001,Temperature,6.93,2024-08-13 07:19,7.0
SNS-1001-T,AST-1001,Temperature,7.38,2024-08-14 10:07,7.0
SNS-1001-T,AST-1001,Temperature,7.6,2024-08-15 17:33,7.0
SNS-1001-T,AST-1001,Temperature,7.04,2024-08-16 09:01,7.0
SNS-1001-T,AST-1001,Temperature,7.69,2024-08-17 00:37,7.0
SNS-1001-T,AST-1001,Temperature,7.1,2024-08-18 05:24,7.0
SNS-1001-T,AST-1001,Temperature,6.27,2024-08-19 05:04,7.0
SNS-1001-T,AST-1001,Temperature,6.74,2024-08-20 18:37,7.0
SNS-1001-T,AST-1001,Temperature,6.87,2024-08-21 18:11,7.0
SNS-1001-T,AST-1001,Temperature,7.11,2024-08-22 20:18,7.0
SNS-1001-T,AST-1001,Temperature,7.46,2024-08-23 05:25,7.0
SNS-1001-T,AST-1001,Temperature,7.2,2024-08-24 11:24,7.0
SNS-1001-T,AST-1001,Temperature,7.19,2024-08-25 02:19,7.0
SNS-1001-T,AST-1001,Temperature,7.02,2024-08-26 16:21,7.0
SNS-1001-T,AST-1001,Temperature,7.25,2024-08-27 22:14,7.0
SNS-1001-T,AST-1001,Temperature,6.32,2024-08-28 00:35,7.0
SNS-1001-T,AST-1001,Temperature,7.08,2024-08-29 01:16,7.0
SNS-1001-T,AST-1001,Temperature,7.02,2024-08-30 11:58,7.0
SNS-1001-T,AST-1001,Temperature,7.22,2024-08-31 15:44,7.0
SNS-1001-T,AST-1001,Temperature,7.41,2024-09-01 14:37,7.0
SNS-1001-T,AST-1001,Temperature,6.74,2024-09-02 02:49,7.0
SNS-1001-T,AST-1001,Temperature,6.71,2024-09-03 13:39,7.0
SNS-1001-T,AST-1001,Temperature,6.88,2024-09-04 11:13,7.0
SNS-1001-T,AST-1001,Temperature,6.68,2024-09-05 08:55,7.0
SNS-1001-T,AST-1001,Temperature,7.3,2024-09-06 07:06,7.0
SNS-1001-T,AST-1001,Temperature,7.44,2024-09-07 12:31,7.0
SNS-1001-T,AST-1001,Temperature,6.62,2024-09-08 02:52,7.0
