Asset ID (FK),Snapshot Month,Operating Hours (Cumulative),Current Load %,Start/Stop Cycle Count (Cumulative)
AST-1001,2024-08,722.7,74.2,4
AST-1001,2024-09,1445.5,82.4,8
AST-1001,2024-10,2178.7,85.1,11
AST-1001,2024-11,2846.7,71.7,14
AST-1001,2024-12,3581.7,81.7,17
AST-1001,2025-01,4332.9,64.3,20
AST-1001,2025-02,5070.7,83.7,24
AST-1001,2025-03,5824.2,79.2,27
AST-1001,2025-04,6476.6,76.7,29
AST-1001,2025-05,7218.7,70.0,32
AST-1001,2025-06,7895.9,78.1,35
AST-1001,2025-07,8552.8,80.3,38
AST-1001,2025-08,9273.8,75.7,41
AST-1001,2025-09,10021.0,84.4,45
AST-1001,2025-10,10691.8,86.5,49
AST-1001,2025-11,11456.8,85.6,53
AST-1001,2025-12,12148.2,73.6,56
AST-1001,2026-01,12861.7,72.3,58
AST-1001,2026-02,13521.0,78.0,61
AST-1001,2026-03,14259.4,77.1,66
AST-1001,2026-04,14958.2,80.2,70
AST-1001,2026-05,15680.1,84.3,74
AST-1001,2026-06,16429.1,74.4,77
AST-1001,2026-07,17070.4,77.8,79
AST-1002,2024-08,815.7,66.6,1
AST-1002,2024-09,1573.1,58.1,2
AST-1002,2024-10,2290.4,68.3,3
AST-1002,2024-11,2995.0,65.7,5
AST-1002,2024-12,3732.7,60.6,7
AST-1002,2025-01,4437.7,60.4,9
AST-1002,2025-02,5187.6,65.0,11
AST-1002,2025-03,5945.7,52.9,13
AST-1002,2025-04,6732.2,63.7,16
AST-1002,2025-05,7473.8,65.5,18
AST-1002,2025-06,8148.2,73.5,19
AST-1002,2025-07,8834.5,62.4,21
AST-1002,2025-08,9605.7,64.7,22
AST-1002,2025-09,10324.6,58.3,23
AST-1002,2025-10,11033.0,66.4,23
AST-1002,2025-11,11746.9,71.6,25
AST-1002,2025-12,12511.2,63.1,28
AST-1002,2026-01,13270.3,65.4,30
AST-1002,2026-02,13955.2,58.8,32
AST-1002,2026-03,14726.6,60.5,34
AST-1002,2026-04,15476.1,61.1,35
AST-1002,2026-05,16179.8,62.7,36
AST-1002,2026-06,16851.7,62.7,38
AST-1002,2026-07,17605.8,62.1,41
AST-1003,2024-08,6.0,74.3,7
AST-1003,2024-09,12.1,53.3,14
AST-1003,2024-10,18.4,60.1,21
AST-1003,2024-11,24.5,56.1,28
AST-1003,2024-12,30.2,54.0,35
AST-1003,2025-01,35.9,59.3,43
AST-1003,2025-02,41.9,42.1,51
AST-1003,2025-03,47.4,55.1,59
AST-1003,2025-04,53.9,54.5,68
AST-1003,2025-05,60.2,57.8,77
AST-1003,2025-06,66.6,60.6,84
AST-1003,2025-07,72.4,43.7,92
AST-1003,2025-08,78.7,46.3,98
AST-1003,2025-09,85.3,52.0,104
AST-1003,2025-10,90.9,57.5,111
AST-1003,2025-11,97.0,52.2,119
AST-1003,2025-12,103.5,52.5,128
AST-1003,2026-01,109.6,44.8,137
AST-1003,2026-02,116.2,52.8,145
AST-1003,2026-03,122.6,52.5,153
AST-1003,2026-04,128.3,68.7,161
AST-1003,2026-05,134.5,64.9,169
AST-1003,2026-06,140.5,67.8,177
AST-1003,2026-07,146.5,42.0,184
AST-1004,2024-08,710.7,48.1,2
AST-1004,2024-09,1454.7,46.2,6
AST-1004,2024-10,2207.1,46.1,9
AST-1004,2024-11,2955.7,42.0,12
AST-1004,2024-12,3623.3,54.1,14
AST-1004,2025-01,4391.6,43.4,17
AST-1004,2025-02,5078.7,46.8,20
AST-1004,2025-03,5831.3,50.3,22
AST-1004,2025-04,6523.1,51.1,24
AST-1004,2025-05,7230.4,53.7,27
AST-1004,2025-06,7910.6,48.0,29
AST-1004,2025-07,8626.9,46.6,33
AST-1004,2025-08,9429.7,47.8,36
AST-1004,2025-09,10109.9,54.8,38
AST-1004,2025-10,10824.5,51.2,41
AST-1004,2025-11,11574.6,50.7,43
AST-1004,2025-12,12336.8,41.2,47
AST-1004,2026-01,13060.2,51.5,50
AST-1004,2026-02,13717.2,48.9,50
AST-1004,2026-03,14465.3,48.9,51
AST-1004,2026-04,15202.1,46.1,53
AST-1004,2026-05,15837.7,43.0,55
AST-1004,2026-06,16526.2,45.9,57
AST-1004,2026-07,17267.2,37.1,61
