Incident ID,Asset ID (FK),Incident Date/Time,Failure Mode,Severity Level,Resolution Date/Time
INC-5003,AST-1001,2025-05-03 10:00,Sensor fault,Medium,2025-05-03 17:45
INC-5002,AST-1001,2025-05-24 13:00,Sensor fault,Critical,2025-05-26 10:27
INC-5004,AST-1001,2025-06-26 15:00,Sensor fault,Low,2025-06-26 18:30
INC-5001,AST-1001,2025-12-02 17:00,Fan motor failure,Medium,2025-12-02 20:11
INC-5005,AST-1002,2025-11-26 02:00,Battery degradation,Low,2025-11-26 04:12
INC-5006,AST-1002,2026-06-21 04:00,Rectifier fault,High,2026-06-21 19:31
INC-5013,AST-1003,2024-12-08 07:00,Starter motor failure,Medium,2024-12-08 12:53
INC-5008,AST-1003,2025-03-22 06:00,Overheating,Low,2025-03-22 08:18
INC-5011,AST-1003,2025-05-22 04:00,Alternator fault,Low,2025-05-22 05:56
INC-5007,AST-1003,2025-08-02 01:00,Fuel system fault,High,2025-08-02 16:25
INC-5010,AST-1003,2025-10-02 16:00,Coolant leak,High,2025-10-03 06:28
INC-5014,AST-1003,2025-12-25 11:00,Alternator fault,Medium,2025-12-25 17:13
INC-5012,AST-1003,2026-02-10 02:00,Alternator fault,Medium,2026-02-10 08:27
INC-5009,AST-1003,2026-02-17 04:00,Coolant leak,Medium,2026-02-17 07:01
INC-5015,AST-1004,2026-01-04 14:00,Loose connection,Medium,2026-01-04 20:47
