Work Order ID,Asset ID (FK),Work Order Type,Scheduled Date,Completion Date,Status,Maintenance Compliance Score (Trailing %)
WO-2001,AST-1001,PM,2024-08-09,2024-08-19,Completed (Late),0.0
WO-2002,AST-1001,Inspection,2024-11-04,2024-11-06,Completed,50.0
WO-2003,AST-1001,PM,2025-01-24,2025-01-25,Completed,66.7
WO-2011,AST-1001,Corrective,2025-03-27,2025-03-28,Completed,
WO-2012,AST-1001,Corrective,2025-04-11,2025-04-11,Completed,
WO-2004,AST-1001,PM,2025-04-17,2025-04-17,Completed,75.0
WO-2010,AST-1001,Corrective,2025-05-18,2025-05-18,Completed,
WO-2005,AST-1001,PM,2025-07-19,2025-07-21,Completed,80.0
WO-2006,AST-1001,PM,2025-10-17,2025-11-23,Completed (Late),66.7
WO-2007,AST-1001,PM,2026-01-08,2026-02-15,Completed (Late),57.1
WO-2008,AST-1001,PM,2026-03-25,2026-03-26,Completed,62.5
WO-2009,AST-1001,PM,2026-06-14,2026-07-05,Completed (Late),55.6
WO-2013,AST-1002,PM,2024-08-09,2024-08-09,Completed,100.0
WO-2014,AST-1002,PM,2024-11-13,2024-11-14,Completed,100.0
WO-2023,AST-1002,Corrective,2025-01-30,2025-02-03,Completed,
WO-2015,AST-1002,PM,2025-02-10,2025-02-10,Completed,100.0
WO-2016,AST-1002,PM,2025-05-01,2025-05-01,Completed,100.0
WO-2017,AST-1002,Inspection,2025-07-20,2025-07-21,Completed,100.0
WO-2022,AST-1002,Corrective,2025-08-04,2025-08-08,Completed,
WO-2018,AST-1002,PM,2025-10-09,2025-10-09,Completed,100.0
WO-2019,AST-1002,Inspection,2025-12-30,2026-01-07,Completed (Late),85.7
WO-2020,AST-1002,PM,2026-04-01,2026-04-02,Completed,87.5
WO-2021,AST-1002,PM,2026-06-27,2026-06-29,Completed,88.9
WO-2024,AST-1003,PM,2024-08-09,2024-08-10,Completed,100.0
WO-2025,AST-1003,PM,2024-10-23,2024-11-10,Completed (Late),50.0
WO-2038,AST-1003,Corrective,2024-12-16,2024-12-16,Completed,
WO-2034,AST-1003,Corrective,2025-01-21,2025-01-25,Completed,
WO-2026,AST-1003,PM,2025-01-25,2025-03-06,Completed (Late),33.3
WO-2027,AST-1003,Inspection,2025-04-21,2025-04-21,Completed,50.0
WO-2036,AST-1003,Corrective,2025-04-27,2025-05-01,Completed,
WO-2037,AST-1003,Corrective,2025-05-18,2025-05-19,Completed,
WO-2035,AST-1003,Corrective,2025-07-08,2025-07-12,Completed,
WO-2028,AST-1003,PM,2025-07-22,2025-07-22,Completed,60.0
WO-2029,AST-1003,Inspection,2025-10-29,2025-10-30,Completed,66.7
WO-2030,AST-1003,Inspection,2026-01-15,2026-01-15,Completed,71.4
WO-2031,AST-1003,Inspection,2026-04-22,2026-06-01,Completed (Late),62.5
WO-2033,AST-1003,Corrective,2026-07-11,2026-07-13,Completed,
WO-2032,AST-1003,PM,2026-07-12,2026-07-21,Completed (Late),55.6
WO-2039,AST-1004,PM,2024-08-09,2024-08-11,Completed,100.0
WO-2040,AST-1004,PM,2024-10-27,2024-10-27,Completed,100.0
WO-2041,AST-1004,PM,2025-01-24,2025-01-24,Completed,100.0
WO-2042,AST-1004,Inspection,2025-04-24,2025-04-26,Completed,100.0
WO-2048,AST-1004,Corrective,2025-06-03,2025-06-05,Completed,
WO-2043,AST-1004,Inspection,2025-07-27,2025-07-27,Completed,100.0
WO-2044,AST-1004,PM,2025-10-11,,Cancelled,100.0
WO-2045,AST-1004,PM,2026-01-07,2026-01-08,Completed,100.0
WO-2046,AST-1004,PM,2026-04-11,2026-04-13,Completed,100.0
WO-2047,AST-1004,PM,2026-07-15,2026-07-15,Completed,100.0
